operator_id,calls_missed_ratio,avg_wait_time,calls_out_ratio,calls_in_ratio,internal_calls_ratio,crit_calls_missed,crit_wait_time,crit_low_outbound,crit_low_inbound,crit_high_internal,inefficiency_score,criterios_negativos,efficiency_class,uso_interno_excesivo,efficiency_binary
890226,0.0,27.33333333333333,50.0,50.0,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
890228,16.666666666666664,17.333333333333332,93.47826086956522,6.521739130434782,4.651162790697675,1,0,0,0,0,1,1,Eficiente,False,1.0
890402,0.0,76.15068493150685,69.75308641975309,30.246913580246915,0.4545454545454545,0,1,0,0,0,1,1,Eficiente,False,1.0
890404,0.3875968992248062,72.22077922077922,72.33243967828417,27.66756032171582,2.608695652173913,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
890406,0.9411764705882352,54.33783783783784,73.79778051787916,26.202219482120835,0.4629629629629629,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
890410,0.0,36.0,98.7012987012987,1.2987012987012987,3.401360544217688,0,0,0,0,0,0,0,Eficiente,False,1.0
890412,0.0,52.71428571428572,97.97356828193831,2.026431718061674,0.684931506849315,0,1,0,0,0,1,1,Eficiente,False,1.0
890582,0.9615384615384616,32.65,35.80246913580247,64.19753086419753,4.545454545454546,1,0,0,0,0,1,1,Eficiente,False,1.0
890618,1.36986301369863,2.7096774193548385,78.71720116618076,21.282798833819243,0.0,1,0,0,0,0,1,1,Eficiente,False,1.0
891254,0.0,26.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
891410,0.303030303030303,124.47142857142858,80.57109214012364,19.42890785987636,16.47509578544061,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
891414,0.198807157057654,100.38983050847456,83.23892035988004,16.76107964011996,20.883534136546185,1,1,0,0,1,3,3,Ineficiente,True,0.0
891416,0.0,44.27659574468085,84.22222222222221,15.777777777777777,14.736842105263156,0,1,0,0,0,1,1,Eficiente,False,1.0
891646,0.0,23.428571428571427,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
891744,0.0,26.75,54.54545454545454,45.45454545454545,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
891824,0.0,27.857142857142858,72.72727272727273,27.27272727272727,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
891900,0.0,72.94117647058823,0.0,100.0,0.0,0,1,1,0,0,2,2,Potencialmente ineficiente,False,
891906,0.0,61.44827586206897,0.0,100.0,0.0,0,1,1,0,0,2,2,Potencialmente ineficiente,False,
891908,0.0,14.666666666666666,18.75,81.25,6.25,0,0,1,0,0,1,1,Eficiente,False,1.0
891918,0.0,31.2,16.666666666666664,83.33333333333334,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
891946,0.0,24.307692307692307,66.66666666666666,33.33333333333333,11.11111111111111,0,0,0,0,0,0,0,Eficiente,False,1.0
891948,0.0,3.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
891988,0.0,61.34920634920635,53.37837837837838,46.62162162162162,0.0,0,1,0,0,0,1,1,Eficiente,False,1.0
892530,0.0,43.142857142857146,50.0,50.0,6.666666666666667,0,1,0,0,0,1,1,Eficiente,False,1.0
892532,0.0,66.53571428571429,58.06451612903226,41.935483870967744,1.4925373134328357,0,1,0,0,0,1,1,Eficiente,False,1.0
892534,0.0,117.625,28.205128205128204,71.7948717948718,0.0,0,1,0,0,0,1,1,Eficiente,False,1.0
